position,code,media,bucket,school
1,DJ9089299,9.97,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
2,DJ284201,9.92,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
3,DJ9530729,9.92,FAR_RURAL,"ȘCOALA GIMNAZIALĂ CĂLĂRAȘI"
4,DJ9451974,9.90,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
5,DJ12485641,9.90,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
6,DJ9445657,9.87,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
7,DJ8952311,9.87,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
8,DJ9871690,9.85,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
9,DJ12534932,9.82,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
10,DJ273151,9.82,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
11,DJ9392395,9.82,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
12,DJ8936867,9.82,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
13,DJ11013356,9.82,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
14,DJ9450400,9.80,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
15,DJ10380135,9.80,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
16,DJ7897430,9.80,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
17,DJ11030409,9.80,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
18,DJ9447824,9.80,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
19,DJ9494543,9.80,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
20,DJ9354301,9.80,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
21,DJ12241412,9.80,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
22,DJ8898650,9.77,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
23,DJ8896642,9.77,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
24,DJ9446447,9.77,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
25,DJ12344792,9.77,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
26,DJ11013961,9.77,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
27,DJ8844592,9.77,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
28,DJ9072801,9.77,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
29,DJ9473011,9.75,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
30,DJ9091196,9.75,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
31,DJ11096534,9.75,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
32,DJ9446041,9.75,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
33,DJ9474357,9.75,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
34,DJ9351186,9.72,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
35,DJ9011909,9.72,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 5 ""AV. P. IVANOVICI"" BĂILEȘTI"
36,DJ272701,9.72,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
37,DJ8337749,9.72,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
38,DJ11095228,9.72,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
39,DJ9438461,9.72,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
40,DJ12614888,9.70,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
41,DJ12615349,9.70,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
42,DJ8416936,9.70,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELENA FARAGO"" CRAIOVA"
43,DJ9098621,9.70,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
44,DJ9445841,9.70,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
45,DJ9747135,9.70,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
46,DJ9343052,9.67,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" CRAIOVA"
47,DJ7896029,9.67,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
48,DJ9090231,9.67,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
49,DJ9438847,9.67,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
50,DJ9494406,9.67,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
51,DJ9441867,9.67,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
52,DJ9436965,9.67,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
53,DJ9356981,9.67,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
54,DJ12089314,9.65,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
55,DJ9437846,9.65,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
